
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0864
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0865
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0866
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0867
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0895
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-0929
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1037
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1038
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1064
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1065
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1071
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1097
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1098
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1105
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1183
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1210
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2001-1434
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0159
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0160
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0225
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0241
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0339
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0505
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0545
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0769
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0778
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0792
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0813
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0848
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0852
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0853
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0870
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0880
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0881
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0882
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0886
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0908
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0938
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0952
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-0954
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1024
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1092
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1093
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1094
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1095
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1096
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1097
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1098
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1099
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1100
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1101
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1102
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1103
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1104
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1105
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1106
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1107
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1108
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1189
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1190
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1222
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1447
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1491
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1492
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1553
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1554
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1555
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1556
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1557
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1558
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1595
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1596
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1597
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1706
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-1768
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2037
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2052
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2053
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2139
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2140
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2208
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2239
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2315
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2316
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2002-2379
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0100
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0210
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0216
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0258
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0259
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0260
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0305
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0511
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0512
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0567
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0647
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0677
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0731
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0732
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0982
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-0983
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-1001
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-1002
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-1003
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-1004
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-1096
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-1109
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-1132
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2003-1398
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0044
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0054
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0244
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0306
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0307
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0308
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0352
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0391
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0551
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0589
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0650
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0710
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-0714
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1099
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1111
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1112
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1163
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1164
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1322
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1432
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1433
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1434
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1435
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1436
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1454
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1458
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1459
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1460
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1461
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1464
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1759
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1760
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1775
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2004-1776
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0186
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0195
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0196
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0197
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0597
Feb 05 00:03:21 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-2005-0598
